,词汇,词性
1482,牛,名词
1483,B,名词
1484,月亮,名词
1485,模式,名词
1486,太,副词
1487,强,形容词
1488,了,助词
1489,雷,名词
1490,总,区别词
1491,雷,名词
1492,总,区别词
1493,，,标点符号
1494,日常,区别词
1495,催,动词
1496,平板,名词
1497,5,数词
1498,。,标点符号
1499,。,标点符号
1500,。,标点符号
1501,所以,连词
1502,，,标点符号
1503,抽奖,动词
1504,吗,语气词
1505,？,标点符号
1506,军军,名词
1507,期待,动词
1508,小米,名词
1509,10,数词
1510,和,连词
1511,Discovery,名词
1512,一起,副词
1513,探索,动词
1514,！,标点符号
1515,平板,名词
1516,5,数词
1517,快,形容词
1518,点,量词
1519,出,动词
1520,，,标点符号
1521,我,代词
1522,平板,名词
1523,4,数词
1524,不,副词
1525,想,动词
1526,用,动词
1527,了,助词
1528,明天,时间词
1529,看,动词
1530,大,形容词
1531,片,量词
1532,雷,名词
1533,总,区别词
1534,，,标点符号
1535,我,代词
1536,想,动词
1537,提,动词
1538,个,量词
1539,建议,名词
1540,，,标点符号
1541,小米,名词
1542,售后服务,名词
1543,中心,名词
1544,，,标点符号
1545,能,动词
1546,不,副词
1547,能,动词
1548,多,形容词
1549,开,动词
1550,一点,数词
1551,啊,语气词
1552,，,标点符号
1553,我,代词
1554,在,介词
1555,北京,名词
1556,，,标点符号
1557,整个,区别词
1558,北京,名词
1559,城东,处所词
1560,半,数词
1561,部,量词
1562,，,标点符号
1563,平谷,名词
1564,密云,名词
1565,怀柔,名词
1566,顺义,名词
1567,四,数词
1568,个,量词
1569,区,名词
1570,，,标点符号
1571,您,代词
1572,看看,动词
1573,，,标点符号
1574,一个,数词
1575,售,动词
1576,后,方位词
1577,中心,名词
1578,都,副词
1579,没有,动词
1580,，,标点符号
1581,修,动词
1582,个,量词
1583,手机,名词
1584,还要,动词
1585,去,动词
1586,昌平,名词
1587,海淀,名词
1588,，,标点符号
1589,太,副词
1590,不,副词
1591,方便,形容词
1592,了,语气词
1593,！,标点符号
1594,！,标点符号
1595,起来,动词
1596,搞,动词
1597,点,量词
1598,小,形容词
1599,米,量词
1600,10,数词
1601,发货,动词
1602,吧,语气词
1603,，,标点符号
1604,起来,动词
1605,搞,动词
1606,点,量词
1607,小,形容词
1608,米,量词
1609,10,数词
1610,发货,动词
1611,吧,语气词
1612,，,标点符号
1613,起来,动词
1614,搞,动词
1615,点,量词
1616,小,形容词
1617,米,量词
1618,10,数词
1619,发货,动词
1620,吧,语气词
1621,，,标点符号
1622,谢谢,动词
1623,大,形容词
1624,佬,名词
1625,雷,名词
1626,总,副词
1627,你,代词
1628,转发,动词
1629,也,副词
1630,是,动词
1631,为了,介词
1632,小米,名词
1633,手,名词
1634,环,名词
1635,吧,语气词
1636,雷,名词
1637,总,区别词
1638, ,
1639,求,动词
1640,求,动词
1641,你,代词
1642,去,动词
1643,拧,动词
1644,螺丝,名词
1645,吧,语气词
1646,、,标点符号
1647,米,名词
1648,10,数词
1649,都,副词
1650,6,数词
1651,天,量词
1652,没,副词
1653,发货,动词
1654,了,助词
1655,小,形容词
1656,米,量词
1657,10,数词
1658,支持,动词
1659,两,数词
1660,张,量词
1661,电信,名词
1662,卡,名词
1663,吗,语气词
1664,？,标点符号
1665,上月,时间词
1666,25,数词
1667,号,量词
1668,全,形容词
1669,款,名词
1670,预售,动词
1671,的,助词
1672,10pro,名词
1673,至今,副词
1674,未,副词
1675,发,动词
1676,货,名词
1677,，,标点符号
1678,问,动词
1679,具体,形容词
1680,发货,动词
1681,时间,名词
1682,客,名词
1683,服,动词
1684,一,数词
1685,问,动词
1686,三,数词
1687,不,副词
1688,知,动词
1689,，,标点符号
1690,别,副词
1691,家,量词
1692,手机,名词
1693,发布,动词
1694,晚,时间词
1695,，,标点符号
1696,但,连词
1697,马上,副词
1698,就,介词
1699,现货,名词
1700,开,动词
1701,售,动词
1702,了,语气词
1703,，,标点符号
1704,小米,名词
1705,还,副词
1706,有,动词
1707,先,副词
1708,发,动词
1709,优势,名词
1710,吗,语气词
1711,？,标点符号
1712,Discovery,名词
1713,和,连词
1714,小米,名词
1715,我,代词
1716,都,副词
1717,喜欢,动词
1718,跪,动词
1719,求,动词
1720,出,动词
1721,一个,数词
1722,价格,名词
1723,贵,形容词
1724,一点,数词
1725,的,助词
1726,小米,名词
1727,10s,名词
1728,雷,名词
1729,总,区别词
1730,定制,名词
1731,865x,名词
1732,平板,名词
1733,处理器,名词
1734,一举,副词
1735,攻,动词
1736,下,动词
1737,平板,名词
1738,市场,名词
1739,雷,名词
1740,总,区别词
1741,定制,名词
1742,一个,数词
1743,天,名词
1744,玑,名词
1745,1000,数词
1746,的,助词
1747,平板,名词
1748,吧,语气词
1749,，,标点符号
1750,要,动词
1751,3Dtouch,名词
1752,的,助词
1753,，,标点符号
1754,要,动词
1755,有,动词
1756,手,名词
1757,写,动词
1758,笔,名词
1759, ,
1760, ,
1761,考,名词
1762,研,动词
1763,党,名词
1764,很,副词
1765,需要,动词
1766,啊,叹词
1767,小米,名词
1768,就,副词
1769,是,动词
1770,个,量词
1771,毫无,动词
1772,诚信,形容词
1773,、,标点符号
1774,出尔反尔,动词
1775,的,助词
1776,公司,名词
1777,！,标点符号
1778,！,标点符号
1779,！,标点符号
1780,网络,名词
1781,上,方位词
1782,渲染,动词
1783,了,助词
1784,半天,数词
1785,，,标点符号
1786,今年,时间词
1787,我们,代词
1788,要,动词
1789,冲,动词
1790,高,形容词
1791,端,动词
1792,了,语气词
1793,，,标点符号
1794,我们,代词
1795,下,动词
1796,血本,名词
1797,了,语气词
1798,，,标点符号
1799,要,动词
1800,卖,动词
1801,得,助词
1802,贵,形容词
1803,了,语气词
1804,！,标点符号
1805,就,介词
1806,你,代词
1807,吼,动词
1808,得,助词
1809,最,副词
1810,早,形容词
1811,，,标点符号
1812,吼,动词
1813,得,助词
1814,最,副词
1815,响,动词
1816,！,标点符号
1817,结果,名词
1818,呢,语气词
1819,，,标点符号
1820,人家,代词
1821,卖,动词
1822,到,动词
1823,6999,数词
1824,去,动词
1825,了,语气词
1826,，,标点符号
1827,你们,代词
1828,还,副词
1829,用,动词
1830,最,副词
1831,贵,形容词
1832,的,助词
1833,料,名词
1834,卖,动词
1835,着,助词
1836,最,副词
1837,便宜,形容词
1838,的,助词
1839,价格,名词
1840,，,标点符号
1841,让,动词
1842,别,副词
1843,家,量词
1844,卖,动词
1845,高,形容词
1846,端,动词
1847,的,助词
1848,怎么,代词
1849,想,动词
1850,，,标点符号
1851,太,副词
1852,不,副词
1853,诚信,形容词
1854,了,语气词
1855,！,标点符号
1856,说,动词
1857,好,形容词
1858,的,助词
1859,高,形容词
1860,端,动词
1861,呢,语气词
1862,？,标点符号
1863,如果,连词
1864,这个,代词
1865,公司,名词
1866,以后,方位词
1867,还,副词
1868,这么,代词
1869,干,动词
1870,，,标点符号
1871,我,代词
1872,.,标点符号
1873,.,标点符号
1874,.,标点符号
1875,.,标点符号
1876,.,标点符号
1877,.,标点符号
1878,我,代词
1879,还,副词
1880,买,动词
1881,！,标点符号
1882,！,标点符号
1883,终于,副词
1884,在,介词
1885,我,代词
1886,的,助词
1887,劝说,动词
1888,下,方位词
1889,全家,名词
1890,都,副词
1891,要,动词
1892,换,动词
1893,小米,名词
1894,了,语气词
1895, ,
1896,评论,动词
1897,配,动词
1898,图,名词
1899,哇,语气词
1900,，,标点符号
1901,第一,数词
1902,哎,叹词
1903,，,标点符号
1904,雷,名词
1905,军,名词
1906,爸爸,名词
1907,回,动词
1908,我,代词
1909,一下,数词
1910,好,形容词
1911,不好,形容词
1912,小米,名词
1913,8,数词
1914,牛,名词
1915,B,名词
1916,月亮,名词
1917,模式,名词
1918,太,副词
1919,强,形容词
1920,了,助词
1921,雷,名词
1922,总,区别词
1923,雷,名词
1924,总,区别词
1925,，,标点符号
1926,日常,区别词
1927,催,动词
1928,平板,名词
1929,5,数词
1930,。,标点符号
1931,。,标点符号
1932,。,标点符号
1933,所以,连词
1934,，,标点符号
1935,抽奖,动词
1936,吗,语气词
1937,？,标点符号
1938,军军,名词
1939,期待,动词
1940,小米,名词
1941,10,数词
1942,和,连词
1943,Discovery,名词
1944,一起,副词
1945,探索,动词
1946,！,标点符号
1947,平板,名词
1948,5,数词
1949,快,形容词
1950,点,量词
1951,出,动词
1952,，,标点符号
1953,我,代词
1954,平板,名词
1955,4,数词
1956,不,副词
1957,想,动词
1958,用,动词
1959,了,助词
1960,明天,时间词
1961,看,动词
1962,大,形容词
1963,片,量词
1964,雷,名词
1965,总,区别词
1966,，,标点符号
1967,我,代词
1968,想,动词
1969,提,动词
1970,个,量词
1971,建议,名词
1972,，,标点符号
1973,小米,名词
1974,售后服务,名词
1975,中心,名词
1976,，,标点符号
1977,能,动词
1978,不,副词
1979,能,动词
1980,多,形容词
1981,开,动词
1982,一点,数词
1983,啊,语气词
1984,，,标点符号
1985,我,代词
1986,在,介词
1987,北京,名词
1988,，,标点符号
1989,整个,区别词
1990,北京,名词
1991,城东,处所词
1992,半,数词
1993,部,量词
1994,，,标点符号
1995,平谷,名词
1996,密云,名词
1997,怀柔,名词
1998,顺义,名词
1999,四,数词
2000,个,量词
2001,区,名词
2002,，,标点符号
2003,您,代词
2004,看看,动词
2005,，,标点符号
2006,一个,数词
2007,售,动词
2008,后,方位词
2009,中心,名词
2010,都,副词
2011,没有,动词
2012,，,标点符号
2013,修,动词
2014,个,量词
2015,手机,名词
2016,还要,动词
2017,去,动词
2018,昌平,名词
2019,海淀,名词
2020,，,标点符号
2021,太,副词
2022,不,副词
2023,方便,形容词
2024,了,语气词
2025,！,标点符号
2026,！,标点符号
2027,起来,动词
2028,搞,动词
2029,点,量词
2030,小,形容词
2031,米,量词
2032,10,数词
2033,发货,动词
2034,吧,语气词
2035,，,标点符号
2036,起来,动词
2037,搞,动词
2038,点,量词
2039,小,形容词
2040,米,量词
2041,10,数词
2042,发货,动词
2043,吧,语气词
2044,，,标点符号
2045,起来,动词
2046,搞,动词
2047,点,量词
2048,小,形容词
2049,米,量词
2050,10,数词
2051,发货,动词
2052,吧,语气词
2053,，,标点符号
2054,谢谢,动词
2055,大,形容词
2056,佬,名词
2057,雷,名词
2058,总,副词
2059,你,代词
2060,转发,动词
2061,也,副词
2062,是,动词
2063,为了,介词
2064,小米,名词
2065,手,名词
2066,环,名词
2067,吧,语气词
2068,雷,名词
2069,总,区别词
2070, ,
2071,求,动词
2072,求,动词
2073,你,代词
2074,去,动词
2075,拧,动词
2076,螺丝,名词
2077,吧,语气词
2078,、,标点符号
2079,米,名词
2080,10,数词
2081,都,副词
2082,6,数词
2083,天,量词
2084,没,副词
2085,发货,动词
2086,了,助词
2087,小,形容词
2088,米,量词
2089,10,数词
2090,支持,动词
2091,两,数词
2092,张,量词
2093,电信,名词
2094,卡,名词
2095,吗,语气词
2096,？,标点符号
2097,上月,时间词
2098,25,数词
2099,号,量词
2100,全,形容词
2101,款,名词
2102,预售,动词
2103,的,助词
2104,10pro,名词
2105,至今,副词
2106,未,副词
2107,发,动词
2108,货,名词
2109,，,标点符号
2110,问,动词
2111,具体,形容词
2112,发货,动词
2113,时间,名词
2114,客,名词
2115,服,动词
2116,一,数词
2117,问,动词
2118,三,数词
2119,不,副词
2120,知,动词
2121,，,标点符号
2122,别,副词
2123,家,量词
2124,手机,名词
2125,发布,动词
2126,晚,时间词
2127,，,标点符号
2128,但,连词
2129,马上,副词
2130,就,介词
2131,现货,名词
2132,开,动词
2133,售,动词
2134,了,语气词
2135,，,标点符号
2136,小米,名词
2137,还,副词
2138,有,动词
2139,先,副词
2140,发,动词
2141,优势,名词
2142,吗,语气词
2143,？,标点符号
2144,Discovery,名词
2145,和,连词
2146,小米,名词
2147,我,代词
2148,都,副词
2149,喜欢,动词
2150,跪,动词
2151,求,动词
2152,出,动词
2153,一个,数词
2154,价格,名词
2155,贵,形容词
2156,一点,数词
2157,的,助词
2158,小米,名词
2159,10s,名词
2160,雷,名词
2161,总,区别词
2162,定制,名词
2163,865x,名词
2164,平板,名词
2165,处理器,名词
2166,一举,副词
2167,攻,动词
2168,下,动词
2169,平板,名词
2170,市场,名词
2171,雷,名词
2172,总,区别词
2173,定制,名词
2174,一个,数词
2175,天,名词
2176,玑,名词
2177,1000,数词
2178,的,助词
2179,平板,名词
2180,吧,语气词
2181,，,标点符号
2182,要,动词
2183,3Dtouch,名词
2184,的,助词
2185,，,标点符号
2186,要,动词
2187,有,动词
2188,手,名词
2189,写,动词
2190,笔,名词
2191, ,
2192, ,
2193,考,名词
2194,研,动词
2195,党,名词
2196,很,副词
2197,需要,动词
2198,啊,叹词
2199,小米,名词
2200,就,副词
2201,是,动词
2202,个,量词
2203,毫无,动词
2204,诚信,形容词
2205,、,标点符号
2206,出尔反尔,动词
2207,的,助词
2208,公司,名词
2209,！,标点符号
2210,！,标点符号
2211,！,标点符号
2212,网络,名词
2213,上,方位词
2214,渲染,动词
2215,了,助词
2216,半天,数词
2217,，,标点符号
2218,今年,时间词
2219,我们,代词
2220,要,动词
2221,冲,动词
2222,高,形容词
2223,端,动词
2224,了,语气词
2225,，,标点符号
2226,我们,代词
2227,下,动词
2228,血本,名词
2229,了,语气词
2230,，,标点符号
2231,要,动词
2232,卖,动词
2233,得,助词
2234,贵,形容词
2235,了,语气词
2236,！,标点符号
2237,就,介词
2238,你,代词
2239,吼,动词
2240,得,助词
2241,最,副词
2242,早,形容词
2243,，,标点符号
2244,吼,动词
2245,得,助词
2246,最,副词
2247,响,动词
2248,！,标点符号
2249,结果,名词
2250,呢,语气词
2251,，,标点符号
2252,人家,代词
2253,卖,动词
2254,到,动词
2255,6999,数词
2256,去,动词
2257,了,语气词
2258,，,标点符号
2259,你们,代词
2260,还,副词
2261,用,动词
2262,最,副词
2263,贵,形容词
2264,的,助词
2265,料,名词
2266,卖,动词
2267,着,助词
2268,最,副词
2269,便宜,形容词
2270,的,助词
2271,价格,名词
2272,，,标点符号
2273,让,动词
2274,别,副词
2275,家,量词
2276,卖,动词
2277,高,形容词
2278,端,动词
2279,的,助词
2280,怎么,代词
2281,想,动词
2282,，,标点符号
2283,太,副词
2284,不,副词
2285,诚信,形容词
2286,了,语气词
2287,！,标点符号
2288,说,动词
2289,好,形容词
2290,的,助词
2291,高,形容词
2292,端,动词
2293,呢,语气词
2294,？,标点符号
2295,如果,连词
2296,这个,代词
2297,公司,名词
2298,以后,方位词
2299,还,副词
2300,这么,代词
2301,干,动词
2302,，,标点符号
2303,我,代词
2304,.,标点符号
2305,.,标点符号
2306,.,标点符号
2307,.,标点符号
2308,.,标点符号
2309,.,标点符号
2310,我,代词
2311,还,副词
2312,买,动词
2313,！,标点符号
2314,！,标点符号
2315,终于,副词
2316,在,介词
2317,我,代词
2318,的,助词
2319,劝说,动词
2320,下,方位词
2321,全家,名词
2322,都,副词
2323,要,动词
2324,换,动词
2325,小米,名词
2326,了,语气词
2327, ,
2328,评论,动词
2329,配,动词
2330,图,名词
2331,哇,语气词
2332,，,标点符号
2333,第一,数词
2334,哎,叹词
2335,，,标点符号
2336,雷,名词
2337,军,名词
2338,爸爸,名词
2339,回,动词
2340,我,代词
2341,一下,数词
2342,好,形容词
2343,不好,形容词
2344,小米,名词
2345,8,数词
2346,牛,名词
2347,B,名词
2348,月亮,名词
2349,模式,名词
2350,太,副词
2351,强,形容词
2352,了,助词
2353,雷,名词
2354,总,区别词
2355,雷,名词
2356,总,区别词
2357,，,标点符号
2358,日常,区别词
2359,催,动词
2360,平板,名词
2361,5,数词
2362,。,标点符号
2363,。,标点符号
2364,。,标点符号
2365,所以,连词
2366,，,标点符号
2367,抽奖,动词
2368,吗,语气词
2369,？,标点符号
2370,军军,名词
2371,期待,动词
2372,小米,名词
2373,10,数词
2374,和,连词
2375,Discovery,名词
2376,一起,副词
2377,探索,动词
2378,！,标点符号
2379,平板,名词
2380,5,数词
2381,快,形容词
2382,点,量词
2383,出,动词
2384,，,标点符号
2385,我,代词
2386,平板,名词
2387,4,数词
2388,不,副词
2389,想,动词
2390,用,动词
2391,了,助词
2392,明天,时间词
2393,看,动词
2394,大,形容词
2395,片,量词
2396,雷,名词
2397,总,区别词
2398,，,标点符号
2399,我,代词
2400,想,动词
2401,提,动词
2402,个,量词
2403,建议,名词
2404,，,标点符号
2405,小米,名词
2406,售后服务,名词
2407,中心,名词
2408,，,标点符号
2409,能,动词
2410,不,副词
2411,能,动词
2412,多,形容词
2413,开,动词
2414,一点,数词
2415,啊,语气词
2416,，,标点符号
2417,我,代词
2418,在,介词
2419,北京,名词
2420,，,标点符号
2421,整个,区别词
2422,北京,名词
2423,城东,处所词
2424,半,数词
2425,部,量词
2426,，,标点符号
2427,平谷,名词
2428,密云,名词
2429,怀柔,名词
2430,顺义,名词
2431,四,数词
2432,个,量词
2433,区,名词
2434,，,标点符号
2435,您,代词
2436,看看,动词
2437,，,标点符号
2438,一个,数词
2439,售,动词
2440,后,方位词
2441,中心,名词
2442,都,副词
2443,没有,动词
2444,，,标点符号
2445,修,动词
2446,个,量词
2447,手机,名词
2448,还要,动词
2449,去,动词
2450,昌平,名词
2451,海淀,名词
2452,，,标点符号
2453,太,副词
2454,不,副词
2455,方便,形容词
2456,了,语气词
2457,！,标点符号
2458,！,标点符号
2459,起来,动词
2460,搞,动词
2461,点,量词
2462,小,形容词
2463,米,量词
2464,10,数词
2465,发货,动词
2466,吧,语气词
2467,，,标点符号
2468,起来,动词
2469,搞,动词
2470,点,量词
2471,小,形容词
2472,米,量词
2473,10,数词
2474,发货,动词
2475,吧,语气词
2476,，,标点符号
2477,起来,动词
2478,搞,动词
2479,点,量词
2480,小,形容词
2481,米,量词
2482,10,数词
2483,发货,动词
2484,吧,语气词
2485,，,标点符号
2486,谢谢,动词
2487,大,形容词
2488,佬,名词
2489,雷,名词
2490,总,副词
2491,你,代词
2492,转发,动词
2493,也,副词
2494,是,动词
2495,为了,介词
2496,小米,名词
2497,手,名词
2498,环,名词
2499,吧,语气词
2500,雷,名词
2501,总,区别词
2502, ,
2503,求,动词
2504,求,动词
2505,你,代词
2506,去,动词
2507,拧,动词
2508,螺丝,名词
2509,吧,语气词
2510,、,标点符号
2511,米,名词
2512,10,数词
2513,都,副词
2514,6,数词
2515,天,量词
2516,没,副词
2517,发货,动词
2518,了,助词
2519,小,形容词
2520,米,量词
2521,10,数词
2522,支持,动词
2523,两,数词
2524,张,量词
2525,电信,名词
2526,卡,名词
2527,吗,语气词
2528,？,标点符号
2529,上月,时间词
2530,25,数词
2531,号,量词
2532,全,形容词
2533,款,名词
2534,预售,动词
2535,的,助词
2536,10pro,名词
2537,至今,副词
2538,未,副词
2539,发,动词
2540,货,名词
2541,，,标点符号
2542,问,动词
2543,具体,形容词
2544,发货,动词
2545,时间,名词
2546,客,名词
2547,服,动词
2548,一,数词
2549,问,动词
2550,三,数词
2551,不,副词
2552,知,动词
2553,，,标点符号
2554,别,副词
2555,家,量词
2556,手机,名词
2557,发布,动词
2558,晚,时间词
2559,，,标点符号
2560,但,连词
2561,马上,副词
2562,就,介词
2563,现货,名词
2564,开,动词
2565,售,动词
2566,了,语气词
2567,，,标点符号
2568,小米,名词
2569,还,副词
2570,有,动词
2571,先,副词
2572,发,动词
2573,优势,名词
2574,吗,语气词
2575,？,标点符号
2576,Discovery,名词
2577,和,连词
2578,小米,名词
2579,我,代词
2580,都,副词
2581,喜欢,动词
2582,跪,动词
2583,求,动词
2584,出,动词
2585,一个,数词
2586,价格,名词
2587,贵,形容词
2588,一点,数词
2589,的,助词
2590,小米,名词
2591,10s,名词
2592,雷,名词
2593,总,区别词
2594,定制,名词
2595,865x,名词
2596,平板,名词
2597,处理器,名词
2598,一举,副词
2599,攻,动词
2600,下,动词
2601,平板,名词
2602,市场,名词
2603,雷,名词
2604,总,区别词
2605,定制,名词
2606,一个,数词
2607,天,名词
2608,玑,名词
2609,1000,数词
2610,的,助词
2611,平板,名词
2612,吧,语气词
2613,，,标点符号
2614,要,动词
2615,3Dtouch,名词
2616,的,助词
2617,，,标点符号
2618,要,动词
2619,有,动词
2620,手,名词
2621,写,动词
2622,笔,名词
2623, ,
2624, ,
2625,考,名词
2626,研,动词
2627,党,名词
2628,很,副词
2629,需要,动词
2630,啊,叹词
2631,小米,名词
2632,就,副词
2633,是,动词
2634,个,量词
2635,毫无,动词
2636,诚信,形容词
2637,、,标点符号
2638,出尔反尔,动词
2639,的,助词
2640,公司,名词
2641,！,标点符号
2642,！,标点符号
2643,！,标点符号
2644,网络,名词
2645,上,方位词
2646,渲染,动词
2647,了,助词
2648,半天,数词
2649,，,标点符号
2650,今年,时间词
2651,我们,代词
2652,要,动词
2653,冲,动词
2654,高,形容词
2655,端,动词
2656,了,语气词
2657,，,标点符号
2658,我们,代词
2659,下,动词
2660,血本,名词
2661,了,语气词
2662,，,标点符号
2663,要,动词
2664,卖,动词
2665,得,助词
2666,贵,形容词
2667,了,语气词
2668,！,标点符号
2669,就,介词
2670,你,代词
2671,吼,动词
2672,得,助词
2673,最,副词
2674,早,形容词
2675,，,标点符号
2676,吼,动词
2677,得,助词
2678,最,副词
2679,响,动词
2680,！,标点符号
2681,结果,名词
2682,呢,语气词
2683,，,标点符号
2684,人家,代词
2685,卖,动词
2686,到,动词
2687,6999,数词
2688,去,动词
2689,了,语气词
2690,，,标点符号
2691,你们,代词
2692,还,副词
2693,用,动词
2694,最,副词
2695,贵,形容词
2696,的,助词
2697,料,名词
2698,卖,动词
2699,着,助词
2700,最,副词
2701,便宜,形容词
2702,的,助词
2703,价格,名词
2704,，,标点符号
2705,让,动词
2706,别,副词
2707,家,量词
2708,卖,动词
2709,高,形容词
2710,端,动词
2711,的,助词
2712,怎么,代词
2713,想,动词
2714,，,标点符号
2715,太,副词
2716,不,副词
2717,诚信,形容词
2718,了,语气词
2719,！,标点符号
2720,说,动词
2721,好,形容词
2722,的,助词
2723,高,形容词
2724,端,动词
2725,呢,语气词
2726,？,标点符号
2727,如果,连词
2728,这个,代词
2729,公司,名词
2730,以后,方位词
2731,还,副词
2732,这么,代词
2733,干,动词
2734,，,标点符号
2735,我,代词
2736,.,标点符号
2737,.,标点符号
2738,.,标点符号
2739,.,标点符号
2740,.,标点符号
2741,.,标点符号
2742,我,代词
2743,还,副词
2744,买,动词
2745,！,标点符号
2746,！,标点符号
2747,终于,副词
2748,在,介词
2749,我,代词
2750,的,助词
2751,劝说,动词
2752,下,方位词
2753,全家,名词
2754,都,副词
2755,要,动词
2756,换,动词
2757,小米,名词
2758,了,语气词
2759, ,
2760,评论,动词
2761,配,动词
2762,图,名词
2763,哇,语气词
2764,，,标点符号
2765,第一,数词
2766,哎,叹词
2767,，,标点符号
2768,雷,名词
2769,军,名词
2770,爸爸,名词
2771,回,动词
2772,我,代词
2773,一下,数词
2774,好,形容词
2775,不好,形容词
2776,小米,名词
2777,8,数词
2778,牛,名词
2779,B,名词
2780,月亮,名词
2781,模式,名词
2782,太,副词
2783,强,形容词
2784,了,助词
2785,雷,名词
2786,总,区别词
2787,雷,名词
2788,总,区别词
2789,，,标点符号
2790,日常,区别词
2791,催,动词
2792,平板,名词
2793,5,数词
2794,。,标点符号
2795,。,标点符号
2796,。,标点符号
2797,所以,连词
2798,，,标点符号
2799,抽奖,动词
2800,吗,语气词
2801,？,标点符号
2802,军军,名词
2803,期待,动词
2804,小米,名词
2805,10,数词
2806,和,连词
2807,Discovery,名词
2808,一起,副词
2809,探索,动词
2810,！,标点符号
2811,平板,名词
2812,5,数词
2813,快,形容词
2814,点,量词
2815,出,动词
2816,，,标点符号
2817,我,代词
2818,平板,名词
2819,4,数词
2820,不,副词
2821,想,动词
2822,用,动词
2823,了,助词
2824,明天,时间词
2825,看,动词
2826,大,形容词
2827,片,量词
2828,雷,名词
2829,总,区别词
2830,，,标点符号
2831,我,代词
2832,想,动词
2833,提,动词
2834,个,量词
2835,建议,名词
2836,，,标点符号
2837,小米,名词
2838,售后服务,名词
2839,中心,名词
2840,，,标点符号
2841,能,动词
2842,不,副词
2843,能,动词
2844,多,形容词
2845,开,动词
2846,一点,数词
2847,啊,语气词
2848,，,标点符号
2849,我,代词
2850,在,介词
2851,北京,名词
2852,，,标点符号
2853,整个,区别词
2854,北京,名词
2855,城东,处所词
2856,半,数词
2857,部,量词
2858,，,标点符号
2859,平谷,名词
